Issue Type,Summary,Priority
Bug,Tempo Tracker hides Portfolio view schedule options,Low
Bug,'Calculate release' returns a Start Date and End Date in the past,Medium
Bug,Free capacity in Kanban team plan does not work,High
Suggestion,Support archiving of releases,
Bug,Old releases (where release end date is in the past) are still used in the Release calculation algorithm ,Low
Suggestion,Show progress of Stories in Backlog as red when tracking exceeds the original estimation,
Bug,Scheduling logic on the plan,Medium
Bug,Opening the details dialog for a scheduling exception throws a JavaScript exception,Low
Suggestion,"As an admin, I'd like to be able to restrict the number of team members available per Epic",
Suggestion,Is it possible to put estimate on epic level in portfolio,
Bug,Calculation error when new version of JodaTime is deployed at JIRA,Low
Suggestion,Merge two portfolio plans,
Suggestion,Make JIRA Portfolio Data Center compatible,
Suggestion,Highlight Initiatives/Epics/Stories,
Suggestion,Add an inline comments field to backlog,
Suggestion,Add Attachments to items.,
Suggestion,Usability Issue - Cannot click on details,
Bug,Free work calculation for releases ignores stream-team assignment,Medium
Suggestion,Ability to link to a plan with selected filters and table column configurations,
Suggestion,Allow to search by issue key when linking issues,
Bug,Start date of release can be ignored if preceding release has a dynamic end date ,Low
Bug,"Error on ""Import issues"" if JIRA Epic is linked to Portfolio story or initiative",Low
Suggestion,Ability to export Plan as Excel file.,
Bug,How to convert existing Epic to Initiative,Low
Suggestion,Ability to pick a single user in the Global Permissions.,
Suggestion,Plan level permissions should take precedence over global permission settings,
Bug,JavaScript error when plan calculation yields an erroneous result,Low
Suggestion,release view in report should trigger the change in utilization,
Suggestion,import assignee,
Suggestion,allow confluence links for intiatives,
Suggestion,Mixed Methodologies Plan - Story Points + Hours/Days,
Bug,How to handle changes in backlogs and reflect this in portfolio,Low
Bug,"""TypeError: Cannot read property 'length' of undefined"" when trying to view a specific portfolio",Highest
Suggestion,Sync changes of JIRA version dates to Portfolio releases,
Suggestion,Viewing and editing custom fields within Portfolio,
Suggestion,allow defining target date for stages,
Bug,Agile: Created sprint flag could not be deleted,Medium
Bug,MS SQL Server: Non-latin characters are shown incorrectly,Medium
Suggestion,Ability to move a Release between Streams,
Bug,Import limit message is wrong when excluding linked issues,Low
Suggestion,sub-task inheritance on estimates when import as backlog,
Suggestion,Backlog text search: Include issue keys,
Suggestion,"""Clear""-button (x) in the search box",
Bug,Tooltips not dissappearing in Safari 7.1 and 8,Low
Suggestion,"Issue import: After deselecting all items, parent/child relationships are not again suggested when selecting single items",
Suggestion,Introduce Bottlenecks for Releases,
Suggestion,Folio Interoperability,
Suggestion,Stage Estimate % Auto Calculation,
Suggestion,Shared teams across multiple plans,
Suggestion,Visual Roadmap Gadget,
Suggestion,Import of issues: allow to set an existing parent epic for all issues,
Suggestion,Filter the graphical schedule by a date range,
Suggestion,read team/member availability from another system,
Suggestion,Applying business value ratings to EPICS,
Suggestion,Provide the option to create subtasks of a story in JIRA for each stage defined,
Suggestion,Option to assign members per stage,
Suggestion,"Allow to open the graphical schedule in a separate, full page",
Suggestion,Pull in Business Value and use for initial priority ranking,
Suggestion,Allow issue linking across projects,
Suggestion,Different stage/skill configurations for different issue types,
Suggestion,support high-level roadmaps,
Suggestion,Powerpoint export,
Suggestion,Tell me which ressources i need to get it done by a certain date,
Suggestion,help prioritize the backlog by different criteria everyone understands,
Bug,Issue on updating Dependencies for Epic,Low
Suggestion,Highlight blockers on the critical path,
Suggestion,Multiple releases on the same day arent seen,
Suggestion,Ability to force parallel issue scheduling of two or more issues,
Suggestion,Support planning releases < 1week ,
Suggestion,Convert Virtual Users to Actual Users,
Bug,Update plan from date: Mark items completed based on issue status,Low
Suggestion,Create epic links also if epic is in different JIRA Project,
Suggestion,Allow JIRA search navigator to see JIRA Portfolio statuses,
Suggestion,Integrate Team Calendar in JPO,
Bug,"If default time tracking unit is ""days"" estimates are not updated",Low
Suggestion,Dynamic switching/allocation of people between multiple teams,
Suggestion,"Support ""staging"" of work until it is ready to be planned",
Suggestion,Limit assignable teams for a release stream,
Suggestion,Possibility to hide empty release streams,
Bug,Changing a Project Key results in Error in JPO,Medium
Suggestion,Capacity Report,
Bug,Epic and Story association,Low
Suggestion,On calculation mode restrict pre-assign an Epic to Only One Team,
Bug,No possible to remove team assignment,Low
Bug,com.atlassian.jira.util.dbc.Assertions$NullArgumentException :key should not be null,Medium
Suggestion,Import from MS Project,
Suggestion,Updates of estimates in JIRA should flow back into Portfolio,
Suggestion,Richer Reporting,
Suggestion,Versions should be able to run concurrently,
Suggestion,issues that block issues within the portfolio should be automatically added to the portfolio.,
Suggestion,"As an project manager I want stories under an epic in the backlog to be ""epic linked"" with that epic.",
Suggestion,As a stream manager I want to have the option to link a stream strictly to a jira project.,
Suggestion,As a project manager I want to click on an initiative / epic / story in the graph to see the issue key of the linked issue and highlight it in the backlog,
Bug,Import Issues Causes Unresponsive Script on Page,Low
Suggestion,"Option to display issue status in ""Update plan from date..."" dialog",
Bug,Perpetual 'Calculating',High
Suggestion,"Target, Estimate & Actual dates",
Bug,Error show up in Safari's Private Browsing Mode,Low
Suggestion,Reopening closed linked Jira issue does't reopen Portfolio epic,
Bug,Error when searching for epics or initiatives in the import dialog,Low
Suggestion,I want to see vertical grid lines on Initiative and Epic reports,
Suggestion,As a project manager I want to add/edit/remove absences to an entire Team or even Plan,
Suggestion,"Financial Reporting Support (Group, User Levels)",
Suggestion,As a project manager I want to set fixed start date and / or fixed end date for specific Initiatives / Epics / Stories.,
Suggestion,As a project manager I want to see and manage dependencies between several portfolio plans.,
Suggestion,"As a project manager I want to see the dependencies between Initiatives, Epics and Stories in a gantt like graph.",
Suggestion,As a project manager I want to plan a stream with Start Date and End Date,
Suggestion,As a project manager I want to manage the resource availability over all plans and not only for one plan.,
Suggestion,Automated Time-Tracking Feature in Portfolio Manager w/ Start | Pause | Stop Features,
Bug,No data in Epic link field when creating and linking issues in Portfolio,Low
Suggestion,Ability to copy backlog items,
Suggestion,Distinguish between users with identical full names,
Suggestion,Add support for importing Epics from JIRA Agile into JIRA Portfolio,
Bug,Importing issues produces a com.atlassian.jira.jql.parser.JqlParseException,Low
Suggestion,Select Team when importing Issues,
Suggestion,Milestones,
Suggestion,Support Story Points for Estimates,
Suggestion,Differentiate read / write access to portfolio,
Suggestion,In a portfolio link to issues in two JIRA instances,
Suggestion,Synchronize the Earliest Start with a field in JIRA,
Suggestion,Synchronize the team name with a field in JIRA,
Suggestion,Provide i18n support,
Suggestion,disabling 'give feedback' in portfolio like jira agile,
Suggestion,Filter and colour by labels in JIRA Portfolio,
Bug,Estimates not updating,Low
Suggestion,Allow work schemes or repeating non-working days for team members,
Suggestion,"When a story is closed and then re-opened in Jira, it should not drop out of Portfolio",
Suggestion,Ability to create future sprints from Portfolio plans,
Suggestion,JIRA Group as a Team,
Suggestion,Allow hiding weekends in the chart,
Suggestion,"Add the ability to import projects, and their underlying structure into a portfolio plan",
Suggestion,Resources should be shared between plans.,
Suggestion,Import existing issues should provide same basic filters as Jira,
Suggestion,Extending Import/Synchronization options,
Suggestion,Highlight unestimated underlying issues,
